,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
247,TVS Supply Chain Solutions ,4.1,"Chennai,Tamil Nadu + 110 more",Chennai,111,,126,1k-5k Employees (India),1500,7200,8,44,India,Asia,20.593684,78.96288
248,Renault-Nissan ,4.1,"Chennai,Tamil Nadu + 64 more",Chennai,65,Private,12,10k-50k Employees (India),1400,6600,3,34,India,Asia,20.593684,78.96288
249,The Himalaya Drug Company ,4.2,"San Francisco,California + 150 more",San Francisco,151,Private,92,1k-5k Employees (India),1300,5000,15,35,United States of America,Americas,,
250,Cholamandalam MS General Insurance ,4.0,"Chennai,Tamil Nadu + 264 more",Chennai,265,JV,21,50k-1 Lakh Employees (India),1300,5200,10,29,India,Asia,20.593684,78.96288
251,Lenskart ,3.0,"Delhi,NCT + 103 more",Delhi,104,Private,12,1k-5k Employees (India),1300,6200,75,95,India,Asia,20.593684,78.96288
252,HDFC Sales ,4.1,"Mumbai,Maharashtra + 213 more",Mumbai,214,Private,18,10k-50k Employees (India),1300,7600,2,62,India,Asia,20.593684,78.96288
253,Blue Star ,4.1,"Mumbai,Maharashtra + 102 more",Mumbai,103,Public,79,1k-5k Employees (India),1400,6700,22,43,India,Asia,20.593684,78.96288
254,Emcure Pharmaceuticals ,4.1,Pune + 78 more,Pune,78,Private,41,5k-10k Employees (India),1400,6100,68,47,India,Asia,20.593684,78.96288
255,AGS Health ,4.1,Washington DC + 22 more,Washington,22,Private,11,5k-10k Employees (India),1300,6100,35,47,United States of America,Americas,,
256,Tata Technologies ,3.5,Singapore + 32 more,Singapore,32,Private,33,5k-10k Employees (India),1300,12000,265,68,Singapore,Asia,1.352083,103.819836
257,Mahindra Holidays & Resorts ,3.7,"Chennai,Tamil Nadu + 87 more",Chennai,88,Private,26,5k-10k Employees (India),1300,5100,54,25,India,Asia,20.593684,78.96288
258,Britannia ,4.2,"Reading,Reading + 161 more",Reading,162,Public,130,5k-10k Employees (India),1300,5900,32,55,United States of America,Americas,,
259,Sterling & Wilson ,4.2,Mumbai + 67 more,Mumbai,67,Private,95,5k-10k Employees (India),1300,7600,20,36,India,Asia,20.593684,78.96288
260,TVS Sundram Fasteners ,3.9,"Chennai,Tamil Nadu + 35 more",Chennai,36,Public,56,1k-5k Employees (India),1300,5100,0,25,India,Asia,20.593684,78.96288
261,Johnson Controls ,4.0,Cork + 52 more,Cork,52,Public,27,5k-10k Employees (India),2100,9700,102,89,Ireland,Europe,53.41291,-8.24389
262,Mahindra Rural Housing Finance ,4.2,"Mumbai,Maharashtra + 300 more",Mumbai,301,Public,15,5k-10k Employees (India),1300,4800,15,38,India,Asia,20.593684,78.96288
263,Big Bazaar ,4.2,"Mumbai,Maharashtra + 148 more",Mumbai,149,Private,21,10k-50k Employees (India),1300,4400,0,26,India,Asia,20.593684,78.96288
264,Ambuja Cements ,4.0,"Mumbai,Maharashtra + 164 more",Mumbai,165,Public,39,5k-10k Employees (India),1300,5100,0,48,India,Asia,20.593684,78.96288
265,Yazaki ,4.0,"Tokyo,Tokyo + 46 more",Tokyo,47,Private,81,10k-50k Employees (India),1300,5400,16,49,Japan,Asia,36.204824,138.252924
266,UNO Minda ,4.1,Gurgaon + 59 more,Gurgaon,59,,64,1k-5k Employees (India),1300,5700,7,44,India,Asia,20.593684,78.96288
267,Force Motors ,3.4,"Pune,Maharashtra + 72 more",Pune,73,Public,64,1k-5k Employees (India),1300,5900,8,47,India,Asia,20.593684,78.96288
268,Brakes India ,4.2,"Chennai,Tamil Nadu + 54 more",Chennai,55,Partnership,60,1k-5k Employees (India),1200,4900,5,19,India,Asia,20.593684,78.96288
269,Shriram City ,4.1,"Chennai,Tamil Nadu + 346 more",Chennai,347,Public,36,10k-50k Employees (India),1200,6900,1,20,India,Asia,20.593684,78.96288
270,TVS Credit Services ,4.3,"Chennai,Tamil Nadu + 201 more",Chennai,202,Public,14,10k-50k Employees (India),1200,4700,66,28,India,Asia,20.593684,78.96288
271,Tech Mahindra Business Services ,3.6,"Mumbai,Maharashtra + 31 more",Mumbai,32,Public,19,1k-5k Employees (India),1200,7100,39,127,India,Asia,20.593684,78.96288
272,Reliance SMSL ,4.1,Mumbai + 314 more,Mumbai,314,Public,15,1k-5k Employees (India),1200,5100,0,70,India,Asia,20.593684,78.96288
273,Thomson Reuters ,4.3,Toronto + 18 more,Toronto,18,Private,14,5k-10k Employees (India),1300,8000,198,31,Canada,Americas,56.130366,-106.346771
274,Indus Towers ,4.1,"Gurgaon,Haryana + 98 more",Gurgaon,99,Private,15,5k-10k Employees (India),1200,5300,37,50,India,Asia,20.593684,78.96288
275,CG Power and Industrial Solutions ,3.9,"Mumbai,Maharashtra + 88 more",Mumbai,89,Public,85,1k-5k Employees (India),1200,6000,45,27,India,Asia,20.593684,78.96288
276,Wockhardt ,4.1,"Mumbai,Maharashtra + 68 more",Mumbai,69,Public,23,5k-10k Employees (India),1700,3800,6,22,India,Asia,20.593684,78.96288
277,Parle Agro ,4.3,"Mumbai,Maharashtra + 131 more",Mumbai,132,Private,38,1k-5k Employees (India),1200,5600,0,39,India,Asia,20.593684,78.96288
278,3i Infotech ,3.7,"Mumbai,Maharashtra + 83 more",Mumbai,84,Public,29,5k-10k Employees (India),1200,7900,87,62,India,Asia,20.593684,78.96288
279,Datamatics Global Services ,3.6,Mumbai + 23 more,Mumbai,23,Public,47,1k-5k Employees (India),1600,7800,104,53,India,Asia,20.593684,78.96288
280,GE ,4.3,"Boston,Massachusetts + 53 more",Boston,54,Private,130,10k-50k Employees (India),3100,6700,9,55,United States of America,Americas,,
281,State Street Corporation ,3.8,"Boston,Massachusetts + 12 more",Boston,13,Private,230,10k-50k Employees (India),1400,14300,50,60,United States of America,Americas,,
282,Tata Motors Finance ,4.3,"Mumbai,Maharashtra + 202 more",Mumbai,203,Private,65,1k-5k Employees (India),1200,4200,2,30,India,Asia,20.593684,78.96288
283,Bharti AXA Life Insurance ,3.9,Mumbai + 196 more,Mumbai,196,Private,16,5k-10k Employees (India),1200,5200,2,50,India,Asia,20.593684,78.96288
284,Myntra ,4.2,"Bangalore,Karnataka + 83 more",Bangalore,84,Private,15,5k-10k Employees (India),1300,6200,73,70,India,Asia,20.593684,78.96288
285,Sterlite Technologies ,4.2,"Pune,Maharashtra + 52 more",Pune,53,Public,34,5k-10k Employees (India),1200,6600,41,59,India,Asia,20.593684,78.96288
286,Lodha group ,4.3,"Mumbai,Maharashtra + 17 more",Mumbai,18,Private,42,1k-5k Employees (India),1200,5300,87,44,India,Asia,20.593684,78.96288
287,BT Group ,4.3,London + 12 more,London,12,Private,176,10k-50k Employees (India),2400,7600,0,31,United Kingdom,Europe,55.378051,-3.435973
288,ICICI Securities ,3.7,"Mumbai,Maharashtra + 98 more",Mumbai,99,Public,27,5k-10k Employees (India),1200,7000,18,58,India,Asia,20.593684,78.96288
289,IKS Health ,3.6,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,15,1k-5k Employees (India),1200,6200,49,53,India,Asia,20.593684,78.96288
290,Gabriel India ,4.3,"Pune,Maharashtra + 32 more",Pune,33,Public,61,1k-5k Employees (India),1100,3800,0,40,India,Asia,20.593684,78.96288
291,BlackBuck ,4.0,"Bangalore,Karnataka + 183 more",Bangalore,184,Private,7,1k-5k Employees (India),1100,4800,68,77,India,Asia,20.593684,78.96288
292,Yamaha Motor ,3.9,"Iwata,Shizuoka + 103 more",Iwata,104,Private,15,1k-5k Employees (India),1200,4700,0,19,Japan,Asia,36.204824,138.252924
293,Mahindra Logistics ,4.2,"Mumbai,Maharashtra + 91 more",Mumbai,92,Public,22,1k-5k Employees (India),1100,5800,40,64,India,Asia,20.593684,78.96288
294,Future Generali India Life Insurance ,4.0,Mumbai + 143 more,Mumbai,143,Private,15,1k-5k Employees (India),1100,5600,88,39,India,Asia,20.593684,78.96288
295,Kansai Nerolac Paints ,3.9,"Mumbai,Maharashtra + 119 more",Mumbai,120,Public,102,1k-5k Employees (India),1100,5200,13,47,India,Asia,20.593684,78.96288
296,Sigma Electric Manufacturing Corporation ,3.9,"Garner,North Carolina + 18 more",Garner,19,Private,40,1k-5k Employees (India),1100,3600,16,32,United States of America,Americas,,
